osmid,y,x,street_count,ref,highway,geometry
159123341,45.5144177,-73.5526023,3,7,motorway_junction,POINT (-73.5526023 45.5144177)
159123359,45.5171431,-73.548764,3,,traffic_signals,POINT (-73.548764 45.5171431)
159123378,45.5234833,-73.5456226,3,,,POINT (-73.5456226 45.5234833)
159935895,45.5236559,-73.5478208,5,,,POINT (-73.5478208 45.5236559)
159938567,45.5255248,-73.5455484,3,,,POINT (-73.5455484 45.5255248)
189725364,45.5426817,-73.6627937,2,,crossing,POINT (-73.6627937 45.5426817)
191394327,45.5515189,-73.6555045,4,367,,POINT (-73.6555045 45.5515189)
191394388,45.5545211,-73.6540725,4,,,POINT (-73.6540725 45.5545211)
194611911,45.5412881,-73.6421401,4,,,POINT (-73.6421401 45.5412881)
194615794,45.5306085,-73.6641431,3,2,motorway_junction,POINT (-73.6641431 45.5306085)
208721773,45.5003956,-73.564393,4,,,POINT (-73.564393 45.5003956)
208721777,45.5018856,-73.5627543,3,,,POINT (-73.5627543 45.5018856)
208721780,45.5019688,-73.5629606,3,5,motorway_junction,POINT (-73.5629606 45.5019688)
208735409,45.498858,-73.5627236,3,,,POINT (-73.5627236 45.498858)
208735453,45.4954433,-73.5630136,4,,,POINT (-73.5630136 45.4954433)
208743980,45.4971457,-73.5625954,3,,,POINT (-73.5625954 45.4971457)
208744041,45.496638,-73.5642013,3,,,POINT (-73.5642013 45.496638)
208778425,45.5002531,-73.5733798,1,,,POINT (-73.5733798 45.5002531)
208797635,45.4944222,-73.5679002,1,,,POINT (-73.5679002 45.4944222)
208797650,45.4937835,-73.5697809,3,,motorway_junction,POINT (-73.5697809 45.4937835)
208797681,45.4952896,-73.5671688,3,,motorway_junction,POINT (-73.5671688 45.4952896)
208798724,45.4940768,-73.5703632,3,,,POINT (-73.5703632 45.4940768)
208798731,45.4935471,-73.5715426,3,,,POINT (-73.5715426 45.4935471)
208863157,45.5279502,-73.5639353,4,,,POINT (-73.5639353 45.5279502)
209370661,45.5024477,-73.6357426,3,,,POINT (-73.6357426 45.5024477)
209396025,45.4896782,-73.6421297,4,419,,POINT (-73.6421297 45.4896782)
209444503,45.524635,-73.5568364,3,,,POINT (-73.5568364 45.524635)
209473894,45.5411778,-73.5737583,4,,,POINT (-73.5737583 45.5411778)
209493251,45.5368403,-73.5635161,4,,,POINT (-73.5635161 45.5368403)
209493254,45.5373904,-73.5630181,4,,,POINT (-73.5630181 45.5373904)
209493277,45.5359182,-73.5613485,4,,,POINT (-73.5613485 45.5359182)
209493280,45.5365536,-73.561019,4,,,POINT (-73.561019 45.5365536)
209493335,45.5390403,-73.5687516,4,,,POINT (-73.5687516 45.5390403)
209493338,45.5393863,-73.5684807,3,,,POINT (-73.5684807 45.5393863)
