osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,tunnel,bridge,access
"[134811809, 111771059, 465413237, 465413238, 465413240, 465413243]","['2', '4']",Rue Sherbrooke Ouest,primary,50,False,False,422.2320000000001,"LINESTRING (-73.5765662 45.5018414, -73.5765045 45.5019047, -73.5764795 45.5019279, -73.5762073 45.5022016, -73.5759775 45.5024397, -73.5759603 45.5024575, -73.5759217 45.5024976, -73.5758539 45.5025678, -73.575834 45.5025883, -73.5757611 45.5026637, -73.5753585 45.503067, -73.575346 45.5030795, -73.5752885 45.5031327, -73.5752332 45.5031909, -73.5752118 45.5032128, -73.5748385 45.5035935, -73.5748075 45.5036251, -73.5747217 45.5037107, -73.5746588 45.5037719, -73.5745813 45.5038474, -73.5745146 45.5039158, -73.5741243 45.5043159, -73.5740776 45.5043638, -73.5740276 45.5044151, -73.5735586 45.5048957, -73.5735397 45.504912, -73.5735124 45.5049396, -73.5734869 45.5049654)",138,,,
"[465417747, 465417748, 562481870]",2,Avenue du Parc,secondary,40,True,False,117.05799999999999,"LINESTRING (-73.5781926 45.5115676, -73.5781311 45.5115341, -73.5781034 45.5115194, -73.5779648 45.5114509, -73.5773905 45.5111925, -73.5773143 45.5111589, -73.5772268 45.5111174, -73.5771219 45.5110697, -73.5770917 45.511056, -73.5769203 45.5110157)",,,,
465417749,4,Avenue des Pins Ouest,secondary,40,False,False,16.656,"LINESTRING (-73.5781926 45.5115676, -73.5781363 45.511633, -73.5780791 45.5116945)",,,,
"[1311319426, 1311319428, 4886374]",2,Avenue des Pins Ouest,secondary,40,False,True,48.598,"LINESTRING (-73.5781926 45.5115676, -73.5782446 45.5115086, -73.5782641 45.5114884, -73.5782747 45.5114772, -73.5784787 45.5112545, -73.578529 45.5111996)",,,,
967543232,,Avenue des Pins Ouest,secondary,40,True,False,16.663,"LINESTRING (-73.5787397 45.5110602, -73.5787989 45.5109162)",,,,
"[408865328, 108458955, 967543231]",2,Avenue des Pins Ouest,secondary,40,True,False,123.92,"LINESTRING (-73.5787397 45.5110602, -73.578785 45.5111188, -73.5788167 45.5111596, -73.5788601 45.5112081, -73.5789257 45.5112761, -73.5789884 45.5113461, -73.5790923 45.5114749, -73.5791549 45.5115734, -73.5791902 45.5116381, -73.5792259 45.5117249, -73.5792588 45.5118271, -73.5792737 45.5118832, -73.5792854 45.5119378, -73.5793076 45.5120839)",,,,
"[4886372, 725188614]",1,Avenue des Pins Ouest,secondary,40,True,False,23.037,"LINESTRING (-73.578529 45.5111996, -73.5786262 45.5111625, -73.5786488 45.5111408, -73.5786813 45.5111135, -73.5787397 45.5110602)",,,,
"[1311319426, 1311319428, 4886374]",2,Avenue des Pins Ouest,secondary,40,False,False,48.598,"LINESTRING (-73.578529 45.5111996, -73.5784787 45.5112545, -73.5782747 45.5114772, -73.5782641 45.5114884, -73.5782446 45.5115086, -73.5781926 45.5115676)",,,,
"[725188612, 4886375]","['2', '1']",Avenue des Pins Ouest,secondary,40,True,False,90.55699999999999,"LINESTRING (-73.5786352 45.5103997, -73.5785735 45.5105714, -73.5785501 45.5106682, -73.5785585 45.5107994, -73.5785842 45.5109216, -73.5785898 45.5109764, -73.5785824 45.5110362, -73.5785635 45.5110744, -73.5785317 45.51114, -73.578529 45.5111996)",,,,
31755773,2,Avenue des Pins Ouest,secondary,40,True,False,74.49,"LINESTRING (-73.5786352 45.5103997, -73.5786177 45.5105586, -73.5786345 45.5107288, -73.5786574 45.510835, -73.5786636 45.510858, -73.5787397 45.5110602)",,,,
